127.0.0.1 - - [23/Feb/2023:06:30:44 +0000] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Feb/2023:06:30:45 +0000] "GET /tagdemo/foreach-student-test.jsp HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [23/Feb/2023:07:01:05 +0000] "GET /tagdemo/if-student-test.jsp HTTP/1.1" 500 2379
0:0:0:0:0:0:0:1 - - [23/Feb/2023:07:01:30 +0000] "GET /tagdemo/if-student-test.jsp HTTP/1.1" 500 3067
0:0:0:0:0:0:0:1 - - [23/Feb/2023:07:03:21 +0000] "GET /tagdemo/if-student-test.jsp HTTP/1.1" 500 3084
0:0:0:0:0:0:0:1 - - [23/Feb/2023:07:04:34 +0000] "GET /tagdemo/if-student-test.jsp HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [23/Feb/2023:07:06:51 +0000] "GET /tagdemo/if-student-test.jsp HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [23/Feb/2023:07:07:11 +0000] "GET /tagdemo/if-student-test.jsp HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [23/Feb/2023:07:07:43 +0000] "GET /tagdemo/if-student-test.jsp HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [23/Feb/2023:07:10:02 +0000] "GET /tagdemo/if-student-test.jsp HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [23/Feb/2023:07:11:01 +0000] "GET /tagdemo/if-student-test.jsp HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [23/Feb/2023:07:11:05 +0000] "GET /tagdemo/if-student-test.jsp HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [23/Feb/2023:07:11:34 +0000] "GET /tagdemo/if-student-test.jsp HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [23/Feb/2023:07:23:06 +0000] "GET /tagdemo/choose-student-test.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [23/Feb/2023:07:25:12 +0000] "GET /tagdemo/choose-student-test.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [23/Feb/2023:07:27:13 +0000] "GET /tagdemo/choose-student-test.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [23/Feb/2023:07:27:45 +0000] "GET /tagdemo/choose-student-test.jsp HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Feb/2023:07:28:02 +0000] "GET /tagdemo/choose-student-test.jsp HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [23/Feb/2023:07:29:14 +0000] "GET /tagdemo/choose-student-test.jsp HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [23/Feb/2023:07:29:26 +0000] "GET /tagdemo/choose-student-test.jsp HTTP/1.1" 200 560
